Home_Team,Away_Team,Result,Date,Link,Year,Round,League
Valenciennes,Pau FC,3-0,Sat 22 Aug ,/match/valenciennes-afc/pau/2021,2021,1,ligue_2
Troyes,Le Havre,2-0,Mon 24 Aug ,/match/troyes/havre-ac/2021,2021,1,ligue_2
Caen,Ajaccio,1-0,Sat 29 Aug ,/match/caen/ajaccio/2021,2021,2,ligue_2
Nancy,Guingamp,2-2,Sat 29 Aug ,/match/nancy/guingamp/2021,2021,2,ligue_2
Chateauroux,Auxerre,1-2,Sat 29 Aug ,/match/berrichonne-chateauroux/auxerre/2021,2021,2,ligue_2
Dunkerque,Clermont,1-1,Sat 29 Aug ,/match/dunkerque/clermont-foot/2021,2021,2,ligue_2
Grenoble,Toulouse,5-3,Sat 29 Aug ,/match/grenoble-foot-38/toulouse-fc/2021,2021,2,ligue_2
Le Havre,Amiens SC,1-0,Sat 29 Aug ,/match/havre-ac/amiens-sc/2021,2021,2,ligue_2
Niort,Chambly,1-1,Sat 29 Aug ,/match/chamois-niortais/chambly/2021,2021,2,ligue_2
Paris FC,Valenciennes,1-0,Sat 29 Aug ,/match/paris-sg/valenciennes-afc/2021,2021,2,ligue_2
Pau FC,Rodez,1-1,Sat 29 Aug ,/match/pau/rodez/2021,2021,2,ligue_2
Sochaux,Troyes,2-1,Sat 29 Aug ,/match/sochaux/troyes/2021,2021,2,ligue_2
Guingamp,Le Havre,1-3,Sat 12 Sep ,/match/guingamp/havre-ac/2021,2021,3,ligue_2
Amiens SC,Paris FC,1-2,Sat 12 Sep ,/match/amiens-sc/paris-sg/2021,2021,3,ligue_2
Auxerre,Clermont,0-1,Sat 12 Sep ,/match/auxerre/clermont-foot/2021,2021,3,ligue_2
Chambly,Grenoble,1-2,Sat 12 Sep ,/match/chambly/grenoble-foot-38/2021,2021,3,ligue_2
Niort,Nancy,1-0,Sat 12 Sep ,/match/chamois-niortais/nancy/2021,2021,3,ligue_2
Rodez,Caen,0-3,Sat 12 Sep ,/match/rodez/caen/2021,2021,3,ligue_2
Troyes,Pau FC,2-0,Sat 12 Sep ,/match/troyes/pau/2021,2021,3,ligue_2
