Home_Team,Away_Team,Result,Date,Link,Year,Round,League
Atalanta,Piacenza,0-0,Fri 23 Dec ,/match/atalanta/piacenza/1995,1995,16,serie_b
Como,Lecce,1-0,Fri 23 Dec ,/match/como/lecce/1995,1995,16,serie_b
Cosenza Calcio,Chievo,0-0,Fri 23 Dec ,/match/fortitudo-cosenza/chievo/1995,1995,16,serie_b
Pescara,Cesena,2-0,Fri 23 Dec ,/match/pescara-calcio/ac-cesena/1995,1995,16,serie_b
Udinese,Perugia,0-1,Fri 23 Dec ,/match/udinese/perugia/1995,1995,16,serie_b
Venezia,Lucchese Libertas,3-1,Fri 23 Dec ,/match/venezia/luchese/1995,1995,16,serie_b
Hellas Verona,Salernitana,4-1,Fri 23 Dec ,/match/hellas-verona-fc/salernitana-calcio-1919/1995,1995,16,serie_b
Vicenza ,Ascoli,0-0,Fri 23 Dec ,/match/vicenza-calcio/ascoli/1995,1995,16,serie_b
Salernitana,Udinese,1-1,Sat 07 Jan ,/match/salernitana-calcio-1919/udinese/1995,1995,17,serie_b
Ascoli,Venezia,0-0,Sun 08 Jan ,/match/ascoli/venezia/1995,1995,17,serie_b
Cesena,Como,1-1,Sun 08 Jan ,/match/ac-cesena/como/1995,1995,17,serie_b
Chievo,Ancona,2-3,Sun 08 Jan ,/match/chievo/ancona/1995,1995,17,serie_b
Cosenza Calcio,Pescara,1-1,Sun 08 Jan ,/match/fortitudo-cosenza/pescara-calcio/1995,1995,17,serie_b
Fidelis Andria,Lucchese Libertas,3-1,Sun 08 Jan ,/match/fidelis-andria/luchese/1995,1995,17,serie_b
Lecce,Hellas Verona,1-0,Sun 08 Jan ,/match/lecce/hellas-verona-fc/1995,1995,17,serie_b
Perugia,Vicenza ,1-1,Sun 08 Jan ,/match/perugia/vicenza-calcio/1995,1995,17,serie_b
Piacenza,Acireale,2-0,Sun 08 Jan ,/match/piacenza/acireale/1995,1995,17,serie_b
Palermo FC,Atalanta,0-1,Wed 25 Jan ,/match/palermo/atalanta/1995,1995,17,serie_b
Pescara,Lecce,2-1,Sat 14 Jan ,/match/pescara-calcio/lecce/1995,1995,18,serie_b
Acireale,Perugia,0-0,Sun 15 Jan ,/match/acireale/perugia/1995,1995,18,serie_b
Ancona,Cesena,2-1,Sun 15 Jan ,/match/ancona/ac-cesena/1995,1995,18,serie_b
Atalanta,Cosenza Calcio,1-0,Sun 15 Jan ,/match/atalanta/fortitudo-cosenza/1995,1995,18,serie_b
Como,Palermo FC,0-0,Sun 15 Jan ,/match/como/palermo/1995,1995,18,serie_b
Lucchese Libertas,Salernitana,1-1,Sun 15 Jan ,/match/luchese/salernitana-calcio-1919/1995,1995,18,serie_b
Udinese,Ascoli,3-1,Sun 15 Jan ,/match/udinese/ascoli/1995,1995,18,serie_b
Venezia,Fidelis Andria,1-1,Sun 15 Jan ,/match/venezia/fidelis-andria/1995,1995,18,serie_b
Hellas Verona,Piacenza,3-3,Sun 15 Jan ,/match/hellas-verona-fc/piacenza/1995,1995,18,serie_b
Vicenza ,Chievo,0-0,Sun 15 Jan ,/match/vicenza-calcio/chievo/1995,1995,18,serie_b
Lecce,Venezia,1-1,Sat 21 Jan ,/match/lecce/venezia/1995,1995,19,serie_b
Ascoli,Hellas Verona,0-0,Sun 22 Jan ,/match/ascoli/hellas-verona-fc/1995,1995,19,serie_b
Cesena,Vicenza ,1-0,Sun 22 Jan ,/match/ac-cesena/vicenza-calcio/1995,1995,19,serie_b
Chievo,Como,0-0,Sun 22 Jan ,/match/chievo/como/1995,1995,19,serie_b
Cosenza Calcio,Acireale,1-0,Sun 22 Jan ,/match/fortitudo-cosenza/acireale/1995,1995,19,serie_b
Fidelis Andria,Udinese,1-3,Sun 22 Jan ,/match/fidelis-andria/udinese/1995,1995,19,serie_b
Palermo FC,Pescara,1-1,Sun 22 Jan ,/match/palermo/pescara-calcio/1995,1995,19,serie_b
Perugia,Ancona,2-0,Sun 22 Jan ,/match/perugia/ancona/1995,1995,19,serie_b
Piacenza,Lucchese Libertas,1-1,Sun 22 Jan ,/match/piacenza/luchese/1995,1995,19,serie_b
Salernitana,Atalanta,1-1,Sun 22 Jan ,/match/salernitana-calcio-1919/atalanta/1995,1995,19,serie_b
Lucchese Libertas,Ascoli,5-1,Sat 28 Jan ,/match/luchese/ascoli/1995,1995,20,serie_b
Hellas Verona,Cesena,1-0,Sun 29 Jan ,/match/hellas-verona-fc/ac-cesena/1995,1995,20,serie_b
Atalanta,Chievo,3-2,Sun 29 Jan ,/match/atalanta/chievo/1995,1995,20,serie_b
Vicenza ,Como,1-0,Sun 29 Jan ,/match/vicenza-calcio/como/1995,1995,20,serie_b
Venezia,Cosenza Calcio,2-3,Sun 29 Jan ,/match/venezia/fortitudo-cosenza/1995,1995,20,serie_b
Acireale,Lecce,2-0,Sun 29 Jan ,/match/acireale/lecce/1995,1995,20,serie_b
Fidelis Andria,Palermo FC,1-1,Sun 29 Jan ,/match/fidelis-andria/palermo/1995,1995,20,serie_b
Piacenza,Perugia,1-0,Sun 29 Jan ,/match/piacenza/perugia/1995,1995,20,serie_b
Udinese,Pescara,2-1,Sun 29 Jan ,/match/udinese/pescara-calcio/1995,1995,20,serie_b
Ancona,Salernitana,1-1,Sun 29 Jan ,/match/ancona/salernitana-calcio-1919/1995,1995,20,serie_b
Cesena,Fidelis Andria,4-0,Sat 11 Feb ,/match/ac-cesena/fidelis-andria/1995,1995,21,serie_b
Pescara,Acireale,3-0,Sun 12 Feb ,/match/pescara-calcio/acireale/1995,1995,21,serie_b
Lecce,Ancona,1-2,Sun 12 Feb ,/match/lecce/ancona/1995,1995,21,serie_b
Ascoli,Atalanta,0-1,Sun 12 Feb ,/match/ascoli/atalanta/1995,1995,21,serie_b
Perugia,Lucchese Libertas,1-1,Sun 12 Feb ,/match/perugia/luchese/1995,1995,21,serie_b
Cosenza Calcio,Piacenza,1-1,Sun 12 Feb ,/match/fortitudo-cosenza/piacenza/1995,1995,21,serie_b
Chievo,Udinese,0-1,Sun 12 Feb ,/match/chievo/udinese/1995,1995,21,serie_b
Como,Venezia,1-3,Sun 12 Feb ,/match/como/venezia/1995,1995,21,serie_b
Palermo FC,Hellas Verona,1-0,Sun 12 Feb ,/match/palermo/hellas-verona-fc/1995,1995,21,serie_b
Salernitana,Vicenza ,0-1,Sun 12 Feb ,/match/salernitana-calcio-1919/vicenza-calcio/1995,1995,21,serie_b
Ancona,Venezia,1-0,Sat 18 Feb ,/match/ancona/venezia/1995,1995,22,serie_b
Perugia,Ascoli,3-1,Sun 19 Feb ,/match/perugia/ascoli/1995,1995,22,serie_b
Lucchese Libertas,Cesena,1-1,Sun 19 Feb ,/match/luchese/ac-cesena/1995,1995,22,serie_b
Fidelis Andria,Chievo,0-0,Sun 19 Feb ,/match/fidelis-andria/chievo/1995,1995,22,serie_b
Atalanta,Como,3-0,Sun 19 Feb ,/match/atalanta/como/1995,1995,22,serie_b
Udinese,Cosenza Calcio,1-0,Sun 19 Feb ,/match/udinese/fortitudo-cosenza/1995,1995,22,serie_b
Acireale,Palermo FC,3-1,Sun 19 Feb ,/match/acireale/palermo/1995,1995,22,serie_b
Hellas Verona,Pescara,5-2,Sun 19 Feb ,/match/hellas-verona-fc/pescara-calcio/1995,1995,22,serie_b
Lecce,Salernitana,1-2,Sun 19 Feb ,/match/lecce/salernitana-calcio-1919/1995,1995,22,serie_b
Piacenza,Vicenza ,3-1,Sun 19 Feb ,/match/piacenza/vicenza-calcio/1995,1995,22,serie_b
Palermo FC,Piacenza,0-2,Sat 25 Feb ,/match/palermo/piacenza/1995,1995,23,serie_b
Chievo,Acireale,2-1,Sun 26 Feb ,/match/chievo/acireale/1995,1995,23,serie_b
Pescara,Ancona,4-2,Sun 26 Feb ,/match/pescara-calcio/ancona/1995,1995,23,serie_b
Venezia,Atalanta,2-3,Sun 26 Feb ,/match/venezia/atalanta/1995,1995,23,serie_b
Ascoli,Fidelis Andria,0-0,Sun 26 Feb ,/match/ascoli/fidelis-andria/1995,1995,23,serie_b
Cesena,Lecce,2-1,Sun 26 Feb ,/match/ac-cesena/lecce/1995,1995,23,serie_b
Cosenza Calcio,Lucchese Libertas,3-2,Sun 26 Feb ,/match/fortitudo-cosenza/luchese/1995,1995,23,serie_b
Salernitana,Perugia,1-0,Sun 26 Feb ,/match/salernitana-calcio-1919/perugia/1995,1995,23,serie_b
Vicenza ,Udinese,2-1,Sun 26 Feb ,/match/vicenza-calcio/udinese/1995,1995,23,serie_b
Como,Hellas Verona,0-0,Sun 26 Feb ,/match/como/hellas-verona-fc/1995,1995,23,serie_b
Lecce,Atalanta,0-1,Sat 04 Mar ,/match/lecce/atalanta/1995,1995,24,serie_b
Acireale,Ancona,1-1,Sun 05 Mar ,/match/acireale/ancona/1995,1995,24,serie_b
Salernitana,Cesena,5-2,Sun 05 Mar ,/match/salernitana-calcio-1919/ac-cesena/1995,1995,24,serie_b
Perugia,Chievo,2-1,Sun 05 Mar ,/match/perugia/chievo/1995,1995,24,serie_b
Udinese,Como,1-1,Sun 05 Mar ,/match/udinese/como/1995,1995,24,serie_b
Hellas Verona,Cosenza Calcio,1-3,Sun 05 Mar ,/match/hellas-verona-fc/fortitudo-cosenza/1995,1995,24,serie_b
Ascoli,Palermo FC,1-0,Sun 05 Mar ,/match/ascoli/palermo/1995,1995,24,serie_b
Lucchese Libertas,Pescara,2-2,Sun 05 Mar ,/match/luchese/pescara-calcio/1995,1995,24,serie_b
Piacenza,Venezia,2-1,Sun 05 Mar ,/match/piacenza/venezia/1995,1995,24,serie_b
Fidelis Andria,Vicenza ,1-1,Sun 05 Mar ,/match/fidelis-andria/vicenza-calcio/1995,1995,24,serie_b
Cesena,Ascoli,1-0,Sat 11 Mar ,/match/ac-cesena/ascoli/1995,1995,25,serie_b
Atalanta,Acireale,1-0,Sun 12 Mar ,/match/atalanta/acireale/1995,1995,25,serie_b
Como,Fidelis Andria,2-0,Sun 12 Mar ,/match/como/fidelis-andria/1995,1995,25,serie_b
Cosenza Calcio,Lecce,2-1,Sun 12 Mar ,/match/fortitudo-cosenza/lecce/1995,1995,25,serie_b
Vicenza ,Lucchese Libertas,2-0,Sun 12 Mar ,/match/vicenza-calcio/luchese/1995,1995,25,serie_b
Palermo FC,Perugia,1-0,Sun 12 Mar ,/match/palermo/perugia/1995,1995,25,serie_b
Pescara,Piacenza,1-2,Sun 12 Mar ,/match/pescara-calcio/piacenza/1995,1995,25,serie_b
Chievo,Salernitana,1-3,Sun 12 Mar ,/match/chievo/salernitana-calcio-1919/1995,1995,25,serie_b
Ancona,Udinese,1-3,Sun 12 Mar ,/match/ancona/udinese/1995,1995,25,serie_b
Venezia,Hellas Verona,1-0,Sun 12 Mar ,/match/venezia/hellas-verona-fc/1995,1995,25,serie_b
Ascoli,Chievo,0-0,Wed 15 Mar ,/match/ascoli/chievo/1995,1995,26,serie_b
